Commodity	Contract_Type	Delivery_Month	Delivery_Year	Strike_Price	Business_Date	Match_Time	Price_Indicator	Price	Message_Code	Amend_Code	Volume
FEF	F	K	2023	0000000	20230404	152046	 	0000011800	Y	D	00200
FEF	F	K	2023	0000000	20230404	152046	 	0000011800	Y	D	00200
FEF	F	M	2023	0000000	20230404	121551	 	0000011700	Y	D	00151
FEF	F	M	2023	0000000	20230404	121551	 	0000011700	Y	D	00151
PVF	F	N	2024	0000000	20230404	172401	 	0000017250	Y	D	00005
PVF	F	N	2024	0000000	20230404	172401	 	0000017250	Y	D	00005
PVF	F	Q	2024	0000000	20230404	172401	 	0000017250	Y	D	00005
PVF	F	Q	2024	0000000	20230404	172401	 	0000017250	Y	D	00005
PVF	F	U	2024	0000000	20230404	172401	 	0000017250	Y	D	00005
PVF	F	U	2024	0000000	20230404	172401	 	0000017250	Y	D	00005
